,SHA_storage_af,SHA_outflow_cfs,SHA_inflow_cfs,ORO_storage_af,ORO_outflow_cfs,ORO_inflow_cfs,BUL_storage_af,BUL_outflow_cfs,BUL_inflow_cfs,FOL_storage_af,FOL_outflow_cfs,FOL_inflow_cfs,MHB_inflow_cfs,PAR_storage_af,PAR_outflow_cfs,PAR_inflow_cfs,CMN_storage_af,CMN_outflow_cfs,CMN_inflow_cfs,NHG_inflow_cfs,NHG_storage_af,NHG_outflow_cfs,NML_storage_af,NML_outflow_cfs,NML_inflow_cfs,DNP_storage_af,DNP_outflow_cfs,DNP_inflow_cfs,EXC_storage_af,EXC_outflow_cfs,EXC_inflow_cfs,MIL_storage_af,MIL_outflow_cfs,MIL_inflow_cfs,HRO_pumping_cfs,TRP_pumping_cfs,delta_outflow_cfs,CX2_CX2_km,SLF_storage_af,LUS_storage_af,total_inflow_cfs,total_reservoir_outflows_cfs,total_storage,delta_inflow_cfs,delta_gains_cfs,total_delta_pumping_cfs,HRO_pumping_pct,TRP_pumping_pct,total_delta_pumping_pct
130,3393785.0,3688.0,8545.5,2250025.5,1512.0,5253.5,652816.5,1170.0,2517.5,513744.0,2293.5,3034.0,279.0,462330.0,330.5,632.5,291335.0,330.5,606.0,149.0,156172.5,42.0,1596222.5,469.5,919.5,1574142.5,824.5,1509.0,539220.0,312.0,690.0,320848.0,887.0,1233.0,2530.0,2494.0,15711.0,71.935,815018.5,961281.0,25385.0,12392.5,13493599.0,19730.0,7592.0,4946.0,0.07528719912472648,0.11716752826222802,0.2036999493157628
131,3396481.5,3691.0,8434.0,2257291.0,1795.0,5022.0,653579.5,1306.5,2633.0,509684.0,2274.0,3459.5,273.0,463065.0,332.0,634.0,292305.0,332.0,503.5,189.5,156286.0,44.0,1598164.5,255.0,1133.0,1574679.0,840.5,1549.5,539753.5,285.0,704.5,321983.5,898.0,1365.0,2640.0,2484.0,15692.0,72.305,818548.5,964614.5,27501.5,12529.0,13474961.0,19688.0,7443.0,5488.0,0.07679804957334417,0.11677070328755722,0.18734865824128438
132,3384087.0,4108.5,7725.5,2263422.5,1653.5,4715.5,653692.0,1517.5,2294.0,509226.0,2502.5,3816.5,322.0,463530.0,333.0,815.0,292880.0,333.0,474.0,195.5,156542.0,42.0,1599916.5,496.5,1099.5,1578405.5,905.5,1695.5,540219.0,313.5,843.0,323214.0,957.5,1408.5,2511.0,2445.0,15601.0,73.715,822477.5,965665.5,26105.5,13608.5,13450561.5,19586.0,8399.0,5762.0,0.0910367485361524,0.11032509339480169,0.20136184193095408
133,3384693.0,3462.5,7605.5,2265093.5,1594.0,4404.5,653208.5,1550.0,2420.0,517728.5,2552.5,3853.5,347.0,464020.0,332.0,808.5,293860.0,332.0,485.5,171.0,157697.5,43.5,1600223.5,434.5,1096.0,1581075.0,667.0,1583.5,542140.0,303.0,838.5,325304.0,944.5,1163.5,2588.0,1987.0,16637.0,71.635,826369.0,968083.0,25371.0,12781.0,13466216.5,19773.0,8032.0,5462.0,0.0729960883113439,0.08078817733990148,0.14717039163420134
134,3387393.5,3612.0,7438.5,2263645.5,1952.0,4450.5,652669.5,1315.0,2540.5,527184.5,2601.0,3517.0,384.0,464380.0,332.0,777.5,293130.0,332.0,503.5,180.0,158358.0,40.0,1600111.0,584.5,1062.0,1585886.5,559.0,1659.5,543143.0,293.5,751.0,327468.0,943.5,1317.0,2466.0,1989.0,16494.0,71.81,829652.5,968684.0,23536.5,13636.5,13472878.5,19227.0,6778.0,5751.0,0.09325835597396853,0.08098394324122479,0.18403163152053273
135,3389977.5,3570.0,8418.5,2264158.5,1920.5,4480.5,652306.0,1312.0,2670.0,530291.0,2598.5,3361.5,362.0,464925.0,332.0,772.0,292875.0,332.0,696.0,165.0,158675.0,33.5,1597687.0,510.5,1111.5,1591782.0,671.0,1607.5,543813.5,303.5,708.5,331290.5,991.0,1438.5,2594.0,1992.0,14936.0,72.16,835636.5,969016.0,26617.0,13415.5,13499452.0,18534.0,7454.0,5842.0,0.10891215526046986,0.08115896632732968,0.1895382277931521
136,3395521.0,3648.0,8539.5,2265664.5,1691.5,4863.0,662720.5,1266.0,2806.5,532883.5,2618.0,3309.0,358.0,465355.0,331.5,751.5,292815.0,331.5,511.0,152.5,158877.0,31.5,1596797.0,686.5,970.0,1608519.0,922.0,1852.0,544953.0,325.5,791.0,335536.5,1043.5,1346.0,2456.0,1969.0,14464.0,70.925,838336.0,968633.5,26230.5,13299.0,13594570.0,18350.0,6355.0,5395.0,0.11792818393180057,0.10818945696250157,0.21177111716621252
137,3402556.5,3465.5,9269.5,2269135.0,1627.0,4855.5,667513.0,1273.0,2787.5,534612.5,2542.5,3073.0,329.0,465735.0,332.5,713.5,291775.0,332.5,675.5,138.0,159007.0,29.5,1595444.0,621.5,1050.5,1610144.0,900.5,1613.0,547283.5,362.5,707.5,336110.0,1115.5,1423.5,2461.0,1974.0,12207.0,70.72,839236.5,968584.0,26649.5,13015.5,13591349.0,17708.0,8078.0,4738.0,0.10423344017094018,0.11863693731594446,0.21848881861305625
138,3409363.0,3283.0,9453.5,2274226.0,2085.0,4985.5,670338.0,1268.0,3067.5,528213.5,2334.5,3529.0,365.0,466375.0,332.5,843.5,288870.0,332.5,684.0,139.0,159137.0,33.0,1595580.5,298.0,1119.5,1613937.0,885.0,1643.0,550036.0,301.0,690.5,336324.5,1159.5,1455.0,2448.0,2577.0,11718.0,71.7,840548.0,967671.5,29143.0,12766.5,13588692.5,17259.0,6326.0,5754.0,0.11413273214034099,0.12133190406002949,0.2252737702068486
139,3418523.0,2856.5,9773.5,2274267.5,1358.5,5863.0,671105.0,1266.0,2791.5,526376.5,2364.0,4102.5,360.0,464050.0,332.5,847.5,287715.0,332.5,545.0,145.5,159224.0,34.5,1595852.0,554.0,1149.0,1617197.0,883.0,1580.0,552681.0,339.5,814.0,334007.5,990.0,1439.0,2660.0,2597.0,11742.0,73.68,844223.0,967214.5,31856.0,12716.0,13585569.5,16576.0,8261.0,5582.0,0.10413918723698261,0.12315881580866268,0.23115220483641535
140,3425836.5,3001.5,9601.5,2272584.0,1603.0,4812.5,671436.0,1267.0,2939.5,525663.5,2229.5,4284.0,332.0,464050.0,332.5,856.5,287340.0,332.5,711.5,165.5,159340.0,36.0,1595117.0,579.0,1057.0,1619919.0,852.5,1688.0,556284.0,333.5,778.0,328174.5,995.5,1330.5,2312.0,2577.0,12109.0,73.385,845095.5,965991.0,29898.5,12750.0,13584985.5,16701.0,6858.0,5707.0,0.09590020141641219,0.13024850042844902,0.23244117118735405
141,3435542.5,3298.5,10053.5,2272467.5,1608.0,4965.5,673729.0,1267.0,3321.0,525787.0,2424.0,3744.0,309.0,458590.0,333.0,770.0,278290.0,333.0,571.5,182.0,159659.0,37.5,1594918.5,727.5,1152.5,1624286.5,1326.5,1586.5,559778.0,330.5,827.0,323302.5,1035.0,1695.0,1936.0,2605.0,12360.0,72.795,845840.5,965247.5,31141.5,13174.0,13584937.0,16246.0,6640.99,5185.0,0.10077148904212467,0.1274745050989802,0.2391973408839099
142,3452774.0,3130.0,10398.0,2271189.5,1986.5,6274.0,676133.5,1267.5,2632.0,527263.5,2538.5,3746.0,315.0,466720.0,333.0,822.0,283215.0,333.0,709.0,163.0,160226.5,41.5,1594714.5,731.5,1039.0,1624284.5,1394.0,1832.5,564464.5,306.5,808.0,323351.5,1133.0,1572.0,2342.0,2562.0,11819.0,72.16499999999999,851578.5,964425.0,33860.0,13561.0,13576154.0,17366.0,5769.0,5667.0,0.08608517421999544,0.12388828210329225,0.21186265740039908
143,3476024.5,3352.0,10894.0,2267879.0,1564.0,6595.5,677671.5,1389.5,2902.5,531649.5,2649.5,3441.0,293.0,467595.0,334.0,751.5,282965.0,334.0,549.0,157.5,160664.0,41.5,1595136.5,516.5,966.5,1624830.0,1600.0,1458.5,568144.0,300.0,774.5,323424.0,1154.0,1509.5,2560.0,2788.0,11784.0,71.61500000000001,852648.5,961666.5,32602.0,13987.0,13594892.5,15810.0,6147.0,5550.0,0.09308163470227934,0.11600253004427577,0.2188091425243849
144,3489266.5,3206.0,9995.0,2265388.5,2102.0,6382.5,681138.5,1371.0,3127.0,538376.5,2711.5,3814.0,297.0,468275.0,332.5,712.5,284150.0,332.5,501.5,202.0,161177.0,41.0,1595416.0,613.0,1160.0,1623737.0,1697.0,1679.0,571762.5,286.0,799.0,323716.5,1155.0,1603.5,2328.0,2549.0,11716.0,71.41499999999999,854876.0,962442.5,35002.5,14693.0,13630742.5,14810.0,5045.0,4582.0,0.09009575566287362,0.08307943821059671,0.16489559337147952
145,3502171.0,2877.5,9876.0,2267701.5,2054.0,5901.5,683871.5,1569.0,2727.5,539539.0,2660.0,4310.0,477.0,468810.0,332.5,775.5,284150.0,332.5,483.0,245.0,161618.5,42.0,1594351.0,766.5,1033.5,1623737.0,1449.0,1945.5,573934.0,356.5,826.0,324405.5,938.0,1628.0,2508.0,2553.0,11519.0,71.34,857184.0,960180.5,31115.5,13831.0,13664633.5,15238.0,5671.0,4567.0,0.08410653995248218,0.06501623376623376,0.16668251221691924
146,3514722.0,3267.5,10034.5,2263586.0,2144.5,5971.5,686573.5,1758.0,3046.5,532678.5,2859.0,4166.5,452.0,469182.5,332.0,822.5,283775.0,332.0,499.5,229.0,162384.5,45.5,1594487.5,575.0,1267.0,1623191.0,1745.0,2211.0,576224.5,413.0,997.5,325208.5,1027.0,1790.5,2617.0,2567.0,11713.0,72.11,859323.5,958561.0,34657.0,14673.0,13706220.0,13875.0,6335.0,3956.0,0.08703339359778794,0.0646165246387551,0.17484732903978825
147,3546654.5,3265.0,9804.0,2260176.5,2295.5,6171.5,688897.0,1779.0,3195.0,531896.5,2862.0,5050.5,506.0,469177.0,333.0,963.0,284360.0,333.0,600.5,300.0,162651.0,46.5,1594527.0,609.0,1534.0,1622645.5,1882.5,2694.5,578700.5,329.0,1166.0,326146.0,992.5,1841.5,2415.0,1633.0,11617.0,71.435,859625.0,956251.5,36101.0,15278.0,13729173.0,13344.0,4107.0,3795.0,0.09278233635191248,0.06965111916968864,0.17448046550290938
148,3551722.5,3039.5,9166.5,2260528.0,2581.0,5717.0,690813.0,1783.0,3179.5,530538.0,2625.0,4270.0,497.0,468370.0,332.0,938.0,285080.0,332.0,664.5,290.0,162324.5,42.0,1593221.0,846.0,1418.0,1621009.0,1980.0,2692.0,580274.5,381.5,1192.5,327181.5,932.5,2017.0,2122.0,996.0,11489.0,71.92,861974.5,959502.5,35372.5,17657.5,13740532.0,14480.0,2368.0,4848.0,0.09995283654494004,0.0697962068559312,0.20656077348066298
149,3556681.0,3591.0,11624.5,2257817.0,2727.5,5715.0,692184.5,1567.5,3128.0,528360.0,2735.0,4521.5,545.0,466457.0,331.5,1076.5,285245.0,331.5,687.0,298.5,162620.0,43.5,1594377.5,652.0,1616.0,1623738.0,1980.0,2569.5,582327.0,321.0,1127.5,327031.5,944.5,1666.5,2774.0,1186.0,11733.0,71.765,865749.5,963972.5,35524.5,16575.0,13726107.5,15387.0,4127.0,5565.0,0.11770117430596894,0.07009536229521558,0.21819758521779734
150,3557191.0,3458.0,10515.5,2254470.5,2204.5,5081.5,694257.5,1285.0,3301.5,526112.0,2549.5,5172.5,526.0,464487.5,332.0,1050.5,282445.0,332.0,605.0,251.0,163124.5,41.5,1593748.5,721.0,1483.0,1627570.0,1980.0,2397.0,584916.5,383.5,1129.5,326749.5,772.0,1641.0,2583.0,1742.0,11785.0,71.38499999999999,866410.5,969632.0,34579.0,15799.0,13712217.5,15420.0,3895.0,5597.0,0.09083970820539217,0.07451048345174147,0.17902199979147118
151,3529979.0,3717.0,9398.5,2257123.0,2121.0,5486.0,696205.0,1424.5,3284.5,525052.0,2866.0,5061.0,502.0,462502.5,333.5,1001.5,280710.0,333.5,745.5,230.0,163225.5,46.5,1593456.0,435.0,1227.0,1623191.0,1681.5,2003.0,586029.5,366.0,1145.5,327104.5,647.0,1621.5,2411.0,1883.0,11631.0,71.10499999999999,865443.5,972860.5,31351.0,15536.5,13702403.0,16433.0,6243.0,5283.0,0.09740778805527008,0.06831667707682698,0.20539599651871193
152,3539186.0,3686.5,10720.5,2266577.5,1582.5,5572.0,698936.0,1678.0,3492.5,526723.0,2412.0,3787.0,497.0,460230.5,335.5,850.5,279220.0,335.5,655.5,264.0,163470.5,49.0,1595814.5,484.5,1477.0,1625377.0,1561.0,2318.0,589054.0,645.5,1235.0,327933.5,631.0,1765.5,2565.0,1903.0,11804.0,72.1,865490.5,979418.0,30059.5,14494.5,13695131.0,15767.0,6709.0,5398.0,0.08224863993552287,0.0959839830408668,0.20097976841837384
153,3538926.0,3669.5,12185.0,2284320.0,2582.5,7416.0,703192.0,1934.0,3472.0,528193.0,2542.5,4468.0,432.0,459256.5,334.5,1056.0,278505.0,334.5,679.0,361.5,163789.0,48.5,1599148.0,557.5,1375.0,1627562.0,1286.5,2434.0,591107.0,490.5,1282.0,330742.0,614.0,1591.0,2697.0,2085.0,12080.0,72.875,864923.0,984802.5,40575.0,16353.0,13701373.0,15192.0,6028.0,5302.0,0.09792830375450753,0.09133709981167608,0.18631124938131938
154,3531237.0,3438.0,13463.5,2303465.0,1631.0,6359.5,704750.0,2015.5,3248.0,530826.0,2337.5,5090.5,476.0,460521.5,335.5,904.0,276640.0,335.5,848.5,344.5,164021.5,49.5,1603172.0,745.0,1383.5,1629751.5,1169.5,2333.0,594479.5,609.0,1182.5,334687.0,626.0,1824.0,2941.0,2447.0,11757.0,72.835,864104.0,988154.0,38054.5,16368.5,13777242.5,15222.0,5965.0,5472.0,0.09954587337106753,0.08052520731867843,0.18943903634708312
155,3545261.5,3557.5,12783.5,2319023.5,2545.5,6853.0,704621.5,1920.0,3115.5,534454.5,2280.5,4730.5,440.0,461831.0,331.5,917.5,276325.0,331.5,939.5,288.5,164181.0,47.0,1607017.5,1032.5,1556.5,1634137.0,1157.5,2575.5,600733.0,738.5,1020.0,338295.0,625.5,1792.0,2211.0,2871.0,11674.0,72.675,864305.5,994684.0,39947.5,16848.5,13855333.0,14500.0,4086.0,5240.0,0.09846344048039563,0.09261303426351113,0.19107647474390674
156,3561774.5,3637.0,13951.5,2349123.0,2598.0,7653.0,710453.0,1967.5,3275.0,542321.0,2153.0,4771.5,666.0,463086.0,332.0,1074.0,277245.0,332.0,905.0,387.5,164371.0,44.0,1612473.0,757.0,1694.0,1633587.5,1723.0,2653.0,603338.5,591.0,1067.0,339239.0,601.5,1655.5,1915.0,2899.0,11887.0,73.53999999999999,864631.5,998206.0,39250.5,16460.5,13885231.5,15469.0,5395.0,5221.0,0.0929994996664443,0.08695380253502336,0.17995330220146766
157,3581509.5,3683.0,12467.0,2381259.0,1915.5,5940.0,716195.5,1638.5,3314.0,548084.0,2222.5,4764.0,665.0,464248.5,331.5,994.0,276010.0,331.5,949.5,375.5,165860.5,44.0,1619089.0,850.0,1403.0,1633039.5,1802.0,2173.5,605526.5,718.5,1165.5,340705.5,610.5,1738.0,2416.0,2708.0,14146.0,73.095,864361.0,1004717.5,35078.0,15909.0,13903237.5,20198.0,3461.0,5619.0,0.10419182335690874,0.10694501436192039,0.2318122311576585
