,FORE-SCE-A1B,FORE-SCE-A2,FORE-SCE-B1,GCAM-26,GCAM-45,GCAM-ref,LUCAS-BAU_High-0001,LUCAS-BAU_High-0002,LUCAS-BAU_High-0003,LUCAS-BAU_High-0004,LUCAS-BAU_High-0005,LUCAS-BAU_High-0006,LUCAS-BAU_High-0007,LUCAS-BAU_High-0008,LUCAS-BAU_High-0009,LUCAS-BAU_High-0010,LUCAS-BAU_Low-0001,LUCAS-BAU_Low-0002,LUCAS-BAU_Low-0003,LUCAS-BAU_Low-0004,LUCAS-BAU_Low-0005,LUCAS-BAU_Low-0006,LUCAS-BAU_Low-0007,LUCAS-BAU_Low-0008,LUCAS-BAU_Low-0009,LUCAS-BAU_Low-0010,LUCAS-BAU_Med-0001,LUCAS-BAU_Med-0002,LUCAS-BAU_Med-0003,LUCAS-BAU_Med-0004,LUCAS-BAU_Med-0005,LUCAS-BAU_Med-0006,LUCAS-BAU_Med-0007,LUCAS-BAU_Med-0008,LUCAS-BAU_Med-0009,LUCAS-BAU_Med-0010
2042-10-01,435.4424101235048,402.1853603016398,399.297020877443,492.7755415239847,467.4845388103287,445.94560899679635,398.07143939234453,400.8860286147493,406.82738571377257,400.5492608500105,398.2831546811924,402.910427205449,402.2125617563501,398.07143939234453,398.9327696101717,399.81007378552687,392.65461772875324,396.351447644427,394.11952253601265,392.89136516932155,392.72731003991674,392.824714337758,396.29078991369636,391.5562098140412,397.6235536691898,394.5742698499854,397.98521473842885,399.14045129918475,396.3420223338162,394.05909793244916,397.77561803104254,400.1292681256156,399.6650007392415,400.7405724549327,398.45974735058786,398.99130509770885
2043-10-01,438.1051263274844,403.3274074943858,400.8216043000399,495.698002341822,470.16182514548854,448.00527370871305,399.0730333331488,402.141983703079,408.1695493900702,401.4149024714112,399.0995310520394,403.89790698438543,403.16206140867746,399.0730333331488,400.19608801915285,400.67608047085963,393.5345818544773,396.8002379972288,394.8130622192514,393.9062190210437,393.7286257039756,393.47467539458984,397.2916121541419,392.25891523793064,398.7823113961366,395.83036942812794,398.8465676242977,400.15283296743655,397.40631721085344,394.8229152864778,398.8184154341691,401.35974584436156,400.5717189064884,401.7801262574759,399.41444610975304,400.25783130527395
2044-10-01,440.1447531154416,404.1968632901154,401.610361583213,498.0958299204657,472.4334475559729,449.509242846093,399.5885782915465,402.8686980187866,408.8526487211121,401.98587355298196,399.53755479804784,404.3620491518983,403.73926651657916,399.5885782915465,401.04565635023266,401.29983453906283,393.9562360628874,396.8391882516514,395.2194767415733,394.19804326913726,394.2363999788091,393.8758215511093,397.8492663314461,392.5228644377972,399.5253573796089,396.6253339383385,399.2426021057945,400.6260486732547,398.01087910051984,395.3712679353386,399.3986728833198,402.14638965124135,401.2180783887885,402.1653399903586,399.81329978672784,401.04341395637215
2045-10-01,442.3921032881511,405.3686824010933,402.73617258306655,500.83082091096213,474.8662285850245,451.2111682305319,400.32943387468237,403.8278089817086,409.6171690551205,402.76140597493594,400.17525498517915,404.96354379804785,404.6630572446585,400.32943387468237,401.98079597304184,402.3669915565825,394.4756588405406,397.3589208440129,395.87378605277837,394.7120800241869,395.0051628220648,394.6737650353765,398.4285040587099,392.961841322448,400.29412854117726,397.5898057991644,399.92383151408984,401.48673277654814,398.941912023269,396.0309598739176,400.37694278780566,402.96157563967915,402.29026272289605,402.8451271050857,400.6324087932999,402.1888697236443
2046-10-01,444.603910622486,406.6233293403981,403.98142566183867,504.21801037365157,477.21519296275426,453.02503610369996,401.0557925061286,404.7028280842359,410.28196775866184,403.6715655348943,400.8687808968081,405.4013350684942,405.3516004869699,401.0557925061286,402.8091136913147,403.5962263138342,395.12501315355,397.8306647507867,396.48908773994634,395.10794869615404,395.81540026324336,395.6357697525551,399.0166788793001,393.3889783621571,401.22037571793044,398.35608520167034,400.6253426664042,402.20245177674485,399.77277752189406,396.66978405183465,401.5650877964189,403.79803681634047,403.25499346998504,403.52972356265514,401.4213510143997,403.43864256475604
2047-10-01,447.016777714573,408.1830888981889,405.56839561811296,508.4684237340836,479.8983590204398,455.18747058144436,401.9388674780254,405.7064868907125,411.02502223160366,404.9073135612351,401.8344686670543,406.1514453240434,406.2618629321547,401.9388674780254,403.91025400036494,404.94870450581476,396.06390313915756,398.60598121241287,397.32033476750706,395.6478360755949,396.62792409952885,396.8979393372035,399.65471791128374,393.7909228822856,402.3720061778019,399.1665498590607,401.3322195378488,403.0875459075459,400.95713057568025,397.66011172896265,402.7920697011074,404.65346823514153,404.56514058293834,404.4739663566831,402.36714322893386,404.6690203804964
2048-10-01,448.90391271353,409.36939716737453,406.82734577126365,512.7826157217512,482.0906900150403,456.83140221654975,402.21700248980335,406.3962491469864,411.4680205811662,405.4904760307587,402.5251193135452,406.46790146674186,406.6673789041512,402.21700248980335,404.56190641504725,405.7572918151378,396.35255041688765,398.98358161527875,397.9708296869982,395.8940572753062,397.1037929117702,397.64613946490556,400.0559747806618,393.9440565689357,403.0658587514549,399.46365072429523,401.6184225385708,403.4086396777178,401.6170455427111,398.36217137830647,403.6469435776151,404.9085437245737,405.310788011391,405.12878562906064,402.737879664786,405.2035832212224
2049-10-01,450.9958320940632,410.8565622999205,408.42698963509287,518.0339764820737,484.457282518509,458.70529649114303,402.89036158593797,407.196531095696,412.12911899364025,406.15919384792016,403.4077213220408,407.22397243216756,407.27718473303537,402.89036158593797,405.4202174225556,406.53678222609176,397.02174220811247,399.63143387867757,398.6301529036338,396.38366891779623,397.86359183938504,398.46228239882873,400.8514677579072,394.3354863176186,403.9519434167952,399.74010085008865,402.1364946938572,404.22185558413355,402.53058047025615,399.20896220174757,404.61015037586213,405.56869707486624,406.1288175046862,406.2236265005872,403.5606653655791,405.94922455035424
2050-10-01,452.9351864798731,412.3990113884314,410.0073693225678,523.7516466923842,486.88934512303683,460.67832539523187,403.654413208489,407.8224639260394,413.0136028081862,406.80294382505764,404.29539716177084,408.1742445936625,407.7653642676462,403.654413208489,406.2294651542823,407.15831093425516,397.6362765733727,400.0767739330339,399.38853245548074,397.04646817057875,398.56385779121416,399.2641624821489,401.67778042329223,394.8273763289857,404.77698338033457,399.9612734112162,402.775586415873,404.95574907904813,403.2148049804141,400.01226454678084,405.5900189242428,406.25045104614713,406.7512135242714,407.1747264190782,404.33819282449326,406.4343884419628
2051-10-01,454.9751201713658,414.22639177676183,411.7977447782758,529.4388129707679,489.44221114369475,462.95320599947956,404.63908325022027,408.81717477352447,414.1683754549907,407.5881954998645,405.4927215375332,409.488766008447,408.6412753677057,404.63908325022027,407.18167276599144,407.94329263481603,398.35259402326426,400.9912382140096,400.1994980687783,398.1891598269513,399.4045106468136,400.2587131124662,402.8610826153541,395.61172007147076,405.6325636780967,400.3571464918659,403.75367032549104,405.8705695340353,404.1648834677759,401.03123134159966,406.5465753730955,407.1378402401232,407.48437443559396,408.1717963209808,405.4752017798371,406.94474031238127
2052-10-01,456.37070690628144,415.6565981420029,413.1204255400633,534.124376634602,491.3115309764761,464.6231501921464,405.14265861567173,409.56922590328355,414.94231843086646,408.07216831466974,406.20037050839227,410.34911827268877,409.13495092059463,405.14265861567173,407.6886245971308,408.3274476020657,398.7105491918655,401.41772526071657,400.5651885063727,399.0105066047555,399.7890020264429,400.7275553750276,403.7278830542253,396.232308046603,406.02770292682595,400.44404816899794,404.23625309559196,406.3903068559983,404.6917818546978,401.49829378197336,407.0190666875922,407.77580840529157,407.61607492747277,408.7472520507426,406.1650035751885,407.056624959239
2053-10-01,457.85673531940876,417.3670946120739,414.6481344380428,538.6011965301235,493.32442340988763,466.756105060503,406.08974316578116,410.37462055860743,415.752737516833,408.87459333235364,406.90552627000716,411.49630306067564,409.84472877813494,406.08974316578116,408.3186254219157,408.98514738962973,399.36136005840785,402.0580231380764,400.9660707442475,399.8077038175389,400.37983751877215,401.46496208385395,404.64725540015996,396.91063266614526,406.5894114227726,400.7785217514611,404.8224057173845,407.1594601506672,405.61948320832306,402.02570960934025,407.6550490582667,408.5742343516963,408.0390164818658,409.50850362737623,407.0935060332569,407.42088930548726
